Number of parameters: 990
Epoch 37: Loss = 0.471257, accuracy = 82.8000 %
Epoch 38: Loss = 0.470953, accuracy = 82.6500 %
Epoch 39: Loss = 0.469932, accuracy = 83.0500 %


Number of parameters: 990
Epoch 0: Loss = 1.241698, accuracy = 54.7000 %
Epoch 1: Loss = 0.853554, accuracy = 68.0000 %
Epoch 2: Loss = 0.749239, accuracy = 72.3000 %
Epoch 3: Loss = 0.716748, accuracy = 71.9000 %
Epoch 4: Loss = 0.661043, accuracy = 75.9000 %
Epoch 5: Loss = 0.634427, accuracy = 77.1000 %
Epoch 6: Loss = 0.616231, accuracy = 77.2000 %
Epoch 7: Loss = 0.607501, accuracy = 77.5500 %
Epoch 8: Loss = 0.582516, accuracy = 78.8500 %
Epoch 9: Loss = 0.576804, accuracy = 78.6500 %
Epoch 10: Loss = 0.559151, accuracy = 79.9500 %
Epoch 11: Loss = 0.553099, accuracy = 79.7000 %
Epoch 12: Loss = 0.553115, accuracy = 80.0000 %
Epoch 13: Loss = 0.547706, accuracy = 79.2000 %
Epoch 14: Loss = 0.534808, accuracy = 79.6500 %
Epoch 15: Loss = 0.529042, accuracy = 80.2500 %
Epoch 16: Loss = 0.520151, accuracy = 80.6500 %
Epoch 17: Loss = 0.514541, accuracy = 80.8500 %
Epoch 18: Loss = 0.506055, accuracy = 81.3500 %
Epoch 19: Loss = 0.505611, accuracy = 81.1500 %
Epoch 20: Loss = 0.505761, accuracy = 81.4500 %
Epoch 21: Loss = 0.498535, accuracy = 81.9000 %
Epoch 22: Loss = 0.494962, accuracy = 82.2500 %
Epoch 23: Loss = 0.491164, accuracy = 82.1500 %
Epoch 24: Loss = 0.491779, accuracy = 82.1000 %
Epoch 25: Loss = 0.489790, accuracy = 81.9000 %
Epoch 26: Loss = 0.488169, accuracy = 81.8000 %
Epoch 27: Loss = 0.481590, accuracy = 82.6000 %
Epoch 28: Loss = 0.483837, accuracy = 81.9500 %
Epoch 29: Loss = 0.481777, accuracy = 82.3500 %
Epoch 30: Loss = 0.479784, accuracy = 82.3000 %
Epoch 31: Loss = 0.477133, accuracy = 82.5500 %
Epoch 32: Loss = 0.477691, accuracy = 82.3500 %
